record_id,student_id,course_id,assessment_id,question_no,concept_id,concept_name,score_pct,mastery_status,timestamp
CP000001,S0001,C002,C002-QZ,1,C002-K01,Variables & Types,80.0,passed,2025-12-27T23:06:24
CP000002,S0001,C002,C002-QZ,2,C002-K03,Functions,82.0,passed,2025-12-27T23:06:24
CP000003,S0001,C002,C002-QZ,3,C002-K06,File I/O,83.2,passed,2025-12-27T23:06:24
CP000004,S0001,C002,C002-QZ,4,C002-K05,Recursion,49.3,failed,2025-12-27T23:06:24
CP000005,S0001,C002,C002-QZ,1,C002-K02,Control Flow,59.4,failed,2026-01-10T23:06:24
CP000006,S0001,C002,C002-QZ,2,C002-K04,Data Structures,77.2,passed,2026-01-10T23:06:24
CP000007,S0001,C002,C002-QZ,3,C002-K07,Error Handling,75.3,passed,2026-01-10T23:06:24
CP000008,S0001,C002,C002-QZ,4,C002-K05,Recursion,46.3,failed,2026-01-10T23:06:24
CP000009,S0001,C002,C002-QZ,1,C002-K01,Variables & Types,83.3,passed,2026-01-24T23:06:24
CP000010,S0001,C002,C002-QZ,2,C002-K05,Recursion,51.6,failed,2026-01-24T23:06:24
CP000011,S0001,C002,C002-QZ,3,C002-K06,File I/O,76.8,passed,2026-01-24T23:06:24
CP000012,S0001,C002,C002-QZ,4,C002-K07,Error Handling,75.9,passed,2026-01-24T23:06:24
CP000013,S0001,C002,C002-QZ,1,C002-K05,Recursion,56.3,failed,2026-02-07T23:06:24
CP000014,S0001,C002,C002-QZ,2,C002-K06,File I/O,96.6,passed,2026-02-07T23:06:24
CP000015,S0001,C002,C002-QZ,3,C002-K02,Control Flow,86.7,passed,2026-02-07T23:06:24
CP000016,S0001,C002,C002-QZ,4,C002-K04,Data Structures,82.8,passed,2026-02-07T23:06:24
CP000017,S0001,C002,C002-EX,1,C002-K03,Functions,82.4,passed,2026-05-02T23:06:24
CP000018,S0001,C002,C002-EX,2,C002-K06,File I/O,85.6,passed,2026-05-02T23:06:24
CP000019,S0001,C002,C002-EX,3,C002-K02,Control Flow,84.0,passed,2026-05-02T23:06:24
CP000020,S0001,C002,C002-EX,4,C002-K05,Recursion,46.9,failed,2026-05-02T23:06:24
CP000021,S0001,C002,C002-EXF,1,C002-K04,Data Structures,82.4,passed,2026-05-16T23:06:24
CP000022,S0001,C002,C002-EXF,2,C002-K05,Recursion,65.6,passed,2026-05-16T23:06:24
CP000023,S0001,C002,C002-EXF,3,C002-K07,Error Handling,75.5,passed,2026-05-16T23:06:24
CP000024,S0001,C002,C002-EXF,4,C002-K02,Control Flow,90.8,passed,2026-05-16T23:06:24
CP000025,S0002,C004,C004-QZ,1,C004-K01,Design Principles,97.5,passed,2025-12-17T01:03:39
CP000026,S0002,C004,C004-QZ,2,C004-K05,Usability Testing,79.7,passed,2025-12-17T01:03:39
CP000027,S0002,C004,C004-QZ,3,C004-K04,Prototyping,93.0,passed,2025-12-17T01:03:39
CP000028,S0002,C004,C004-QZ,4,C004-K03,Color Theory,100.0,passed,2025-12-17T01:03:39
CP000029,S0002,C004,C004-QZ,1,C004-K05,Usability Testing,94.8,passed,2026-01-01T01:03:39
CP000030,S0002,C004,C004-QZ,2,C004-K04,Prototyping,88.6,passed,2026-01-01T01:03:39
CP000031,S0002,C004,C004-QZ,3,C004-K02,Wireframing,87.5,passed,2026-01-01T01:03:39
CP000032,S0002,C004,C004-QZ,4,C004-K03,Color Theory,74.4,passed,2026-01-01T01:03:39
CP000033,S0002,C004,C004-QZ,1,C004-K03,Color Theory,100.0,passed,2026-01-16T01:03:39
CP000034,S0002,C004,C004-QZ,2,C004-K02,Wireframing,86.2,passed,2026-01-16T01:03:39
CP000035,S0002,C004,C004-QZ,3,C004-K01,Design Principles,92.4,passed,2026-01-16T01:03:39
CP000036,S0002,C004,C004-QZ,4,C004-K04,Prototyping,91.3,passed,2026-01-16T01:03:39
CP000037,S0002,C004,C004-QZ,1,C004-K01,Design Principles,86.0,passed,2026-01-31T01:03:39
CP000038,S0002,C004,C004-QZ,2,C004-K02,Wireframing,97.9,passed,2026-01-31T01:03:39
CP000039,S0002,C004,C004-QZ,3,C004-K03,Color Theory,91.0,passed,2026-01-31T01:03:39
CP000040,S0002,C004,C004-QZ,4,C004-K04,Prototyping,70.0,passed,2026-01-31T01:03:39
CP000041,S0002,C004,C004-EX,1,C004-K01,Design Principles,94.4,passed,2026-04-30T01:03:39
CP000042,S0002,C004,C004-EX,2,C004-K03,Color Theory,76.0,passed,2026-04-30T01:03:39
CP000043,S0002,C004,C004-EX,3,C004-K05,Usability Testing,75.2,passed,2026-04-30T01:03:39
CP000044,S0002,C004,C004-EX,4,C004-K04,Prototyping,84.2,passed,2026-04-30T01:03:39
CP000045,S0002,C004,C004-EXF,1,C004-K04,Prototyping,90.7,passed,2026-05-15T01:03:39
CP000046,S0002,C004,C004-EXF,2,C004-K03,Color Theory,86.8,passed,2026-05-15T01:03:39
CP000047,S0002,C004,C004-EXF,3,C004-K05,Usability Testing,88.3,passed,2026-05-15T01:03:39
CP000048,S0002,C004,C004-EXF,4,C004-K01,Design Principles,84.9,passed,2026-05-15T01:03:39
CP000049,S0003,C003,C003-QZ,1,C003-K02,CSS Layout,61.5,passed,2025-12-30T03:25:17
CP000050,S0003,C003,C003-QZ,2,C003-K04,HTTP & APIs,67.9,passed,2025-12-30T03:25:17
CP000051,S0003,C003,C003-QZ,3,C003-K05,Responsive Design,66.2,passed,2025-12-30T03:25:17
CP000052,S0003,C003,C003-QZ,4,C003-K01,HTML & Semantics,48.1,failed,2025-12-30T03:25:17
CP000053,S0003,C003,C003-QZ,1,C003-K02,CSS Layout,68.8,passed,2026-01-13T03:25:17
CP000054,S0003,C003,C003-QZ,2,C003-K04,HTTP & APIs,87.0,passed,2026-01-13T03:25:17
CP000055,S0003,C003,C003-QZ,3,C003-K03,JavaScript DOM,78.5,passed,2026-01-13T03:25:17
CP000056,S0003,C003,C003-QZ,4,C003-K01,HTML & Semantics,83.1,passed,2026-01-13T03:25:17
CP000057,S0003,C003,C003-QZ,1,C003-K05,Responsive Design,73.3,passed,2026-01-27T03:25:17
CP000058,S0003,C003,C003-QZ,2,C003-K01,HTML & Semantics,85.8,passed,2026-01-27T03:25:17
CP000059,S0003,C003,C003-QZ,3,C003-K02,CSS Layout,81.6,passed,2026-01-27T03:25:17
CP000060,S0003,C003,C003-QZ,4,C003-K03,JavaScript DOM,74.7,passed,2026-01-27T03:25:17
CP000061,S0003,C003,C003-QZ,1,C003-K02,CSS Layout,58.1,failed,2026-02-09T03:25:17
CP000062,S0003,C003,C003-QZ,2,C003-K04,HTTP & APIs,74.4,passed,2026-02-09T03:25:17
CP000063,S0003,C003,C003-QZ,3,C003-K03,JavaScript DOM,70.8,passed,2026-02-09T03:25:17
CP000064,S0003,C003,C003-QZ,4,C003-K05,Responsive Design,76.2,passed,2026-02-09T03:25:17
CP000065,S0003,C003,C003-EX,1,C003-K03,JavaScript DOM,88.1,passed,2026-05-02T03:25:17
CP000066,S0003,C003,C003-EX,2,C003-K02,CSS Layout,79.7,passed,2026-05-02T03:25:17
CP000067,S0003,C003,C003-EX,3,C003-K04,HTTP & APIs,81.8,passed,2026-05-02T03:25:17
CP000068,S0003,C003,C003-EX,4,C003-K01,HTML & Semantics,93.9,passed,2026-05-02T03:25:17
CP000069,S0003,C003,C003-EXF,1,C003-K01,HTML & Semantics,85.0,passed,2026-05-16T03:25:17
CP000070,S0003,C003,C003-EXF,2,C003-K05,Responsive Design,81.4,passed,2026-05-16T03:25:17
CP000071,S0003,C003,C003-EXF,3,C003-K04,HTTP & APIs,93.6,passed,2026-05-16T03:25:17
CP000072,S0003,C003,C003-EXF,4,C003-K02,CSS Layout,91.4,passed,2026-05-16T03:25:17
CP000073,S0004,C001,C001-QZ,1,C001-K02,Descriptive Statistics,84.1,passed,2025-12-26T00:58:46
CP000074,S0004,C001,C001-QZ,2,C001-K01,Spreadsheets & Tabular Data,86.1,passed,2025-12-26T00:58:46
CP000075,S0004,C001,C001-QZ,3,C001-K05,Joins & Merges,70.5,passed,2025-12-26T00:58:46
CP000076,S0004,C001,C001-QZ,4,C001-K06,Data Visualization Basics,84.2,passed,2025-12-26T00:58:46
CP000077,S0004,C001,C001-QZ,1,C001-K05,Joins & Merges,64.7,passed,2026-01-09T00:58:46
CP000078,S0004,C001,C001-QZ,2,C001-K03,Data Cleaning,72.4,passed,2026-01-09T00:58:46
CP000079,S0004,C001,C001-QZ,3,C001-K04,GroupBy & Aggregation,79.0,passed,2026-01-09T00:58:46
CP000080,S0004,C001,C001-QZ,4,C001-K02,Descriptive Statistics,60.8,passed,2026-01-09T00:58:46
CP000081,S0004,C001,C001-QZ,1,C001-K06,Data Visualization Basics,86.4,passed,2026-01-23T00:58:46
CP000082,S0004,C001,C001-QZ,2,C001-K04,GroupBy & Aggregation,70.4,passed,2026-01-23T00:58:46
CP000083,S0004,C001,C001-QZ,3,C001-K01,Spreadsheets & Tabular Data,82.3,passed,2026-01-23T00:58:46
CP000084,S0004,C001,C001-QZ,4,C001-K03,Data Cleaning,71.1,passed,2026-01-23T00:58:46
CP000085,S0004,C001,C001-QZ,1,C001-K05,Joins & Merges,72.5,passed,2026-02-06T00:58:46
CP000086,S0004,C001,C001-QZ,2,C001-K06,Data Visualization Basics,87.2,passed,2026-02-06T00:58:46
CP000087,S0004,C001,C001-QZ,3,C001-K02,Descriptive Statistics,90.3,passed,2026-02-06T00:58:46
CP000088,S0004,C001,C001-QZ,4,C001-K04,GroupBy & Aggregation,79.2,passed,2026-02-06T00:58:46
CP000089,S0004,C001,C001-EX,1,C001-K01,Spreadsheets & Tabular Data,77.3,passed,2026-05-01T00:58:46
CP000090,S0004,C001,C001-EX,2,C001-K03,Data Cleaning,77.2,passed,2026-05-01T00:58:46
CP000091,S0004,C001,C001-EX,3,C001-K06,Data Visualization Basics,75.4,passed,2026-05-01T00:58:46
CP000092,S0004,C001,C001-EX,4,C001-K05,Joins & Merges,62.2,passed,2026-05-01T00:58:46
CP000093,S0004,C001,C001-EXF,1,C001-K02,Descriptive Statistics,77.7,passed,2026-05-15T00:58:46
CP000094,S0004,C001,C001-EXF,2,C001-K06,Data Visualization Basics,77.5,passed,2026-05-15T00:58:46
CP000095,S0004,C001,C001-EXF,3,C001-K03,Data Cleaning,81.6,passed,2026-05-15T00:58:46
CP000096,S0004,C001,C001-EXF,4,C001-K05,Joins & Merges,65.3,passed,2026-05-15T00:58:46
CP000097,S0005,C001,C001-QZ,1,C001-K05,Joins & Merges,75.4,passed,2025-12-27T05:24:23
CP000098,S0005,C001,C001-QZ,2,C001-K01,Spreadsheets & Tabular Data,78.8,passed,2025-12-27T05:24:23
CP000099,S0005,C001,C001-QZ,3,C001-K03,Data Cleaning,95.9,passed,2025-12-27T05:24:23
CP000100,S0005,C001,C001-QZ,4,C001-K04,GroupBy & Aggregation,81.0,passed,2025-12-27T05:24:23
CP000101,S0005,C001,C001-QZ,1,C001-K04,GroupBy & Aggregation,83.5,passed,2026-01-10T05:24:23
CP000102,S0005,C001,C001-QZ,2,C001-K02,Descriptive Statistics,72.1,passed,2026-01-10T05:24:23
CP000103,S0005,C001,C001-QZ,3,C001-K01,Spreadsheets & Tabular Data,53.6,failed,2026-01-10T05:24:23
CP000104,S0005,C001,C001-QZ,4,C001-K06,Data Visualization Basics,72.7,passed,2026-01-10T05:24:23
CP000105,S0005,C001,C001-QZ,1,C001-K01,Spreadsheets & Tabular Data,87.4,passed,2026-01-24T05:24:23
CP000106,S0005,C001,C001-QZ,2,C001-K04,GroupBy & Aggregation,67.3,passed,2026-01-24T05:24:23
CP000107,S0005,C001,C001-QZ,3,C001-K06,Data Visualization Basics,71.8,passed,2026-01-24T05:24:23
CP000108,S0005,C001,C001-QZ,4,C001-K02,Descriptive Statistics,84.6,passed,2026-01-24T05:24:23
CP000109,S0005,C001,C001-QZ,1,C001-K05,Joins & Merges,63.9,passed,2026-02-07T05:24:23
CP000110,S0005,C001,C001-QZ,2,C001-K06,Data Visualization Basics,74.2,passed,2026-02-07T05:24:23
CP000111,S0005,C001,C001-QZ,3,C001-K01,Spreadsheets & Tabular Data,83.1,passed,2026-02-07T05:24:23
CP000112,S0005,C001,C001-QZ,4,C001-K02,Descriptive Statistics,80.1,passed,2026-02-07T05:24:23
CP000113,S0005,C001,C001-EX,1,C001-K06,Data Visualization Basics,56.3,failed,2026-05-02T05:24:23
CP000114,S0005,C001,C001-EX,2,C001-K02,Descriptive Statistics,53.3,failed,2026-05-02T05:24:23
CP000115,S0005,C001,C001-EX,3,C001-K01,Spreadsheets & Tabular Data,71.3,passed,2026-05-02T05:24:23
CP000116,S0005,C001,C001-EX,4,C001-K04,GroupBy & Aggregation,56.6,failed,2026-05-02T05:24:23
CP000117,S0005,C001,C001-EXF,1,C001-K06,Data Visualization Basics,63.8,passed,2026-05-16T05:24:23
CP000118,S0005,C001,C001-EXF,2,C001-K02,Descriptive Statistics,59.0,failed,2026-05-16T05:24:23
CP000119,S0005,C001,C001-EXF,3,C001-K01,Spreadsheets & Tabular Data,57.5,failed,2026-05-16T05:24:23
CP000120,S0005,C001,C001-EXF,4,C001-K04,GroupBy & Aggregation,56.7,failed,2026-05-16T05:24:23
