event_id,student_id,event_type,event_datetime,duration_seconds,device
EV000001,S0001,quiz_attempt,2025-01-01T08:00:00,,mobile
EV000002,S0001,video_watch,2026-04-15T08:24:37,-120.0,web
EV000003,S0001,forum_post,2026-01-25T17:33:56,,web
EV000004,S0001,video_watch,2026-04-08T17:16:22,99999.0,web
EV000005,S0001,video_watch,2026-05-18T22:50:28,590.0,mobile
EV000006,S0001,video_watch,2026-02-16T14:36:38,863.0,mobile
EV000007,S0001,login,2026-05-23T10:00:36,,web
EV000008,S0001,video_watch,2026-01-29T05:28:37,442.0,mobile
EV000009,S0001,login,2025-12-29T09:16:33,,web
EV000010,S0001,resource_download,2026-01-22T10:44:02,,mobile
EV000011,S0001,quiz_attempt,2026-05-18T01:14:44,,web
EV000012,S0001,login,2026-01-05T14:17:01,,mobile
EV000013,S0001,login,2025-12-23T04:10:09,,web
EV000014,S0001,resource_download,2025-12-22T18:01:38,,web
EV000015,S0001,video_watch,2026-05-05T03:45:53,267.0,mobile
EV000016,S0001,login,2026-04-16T17:42:27,,web
EV000017,S0001,login,2026-03-26T20:46:23,,web
EV000018,S0001,forum_post,2026-05-14T10:59:22,,web
EV000019,S0001,quiz_attempt,2026-05-30T07:21:38,,mobile
EV000020,S0001,quiz_attempt,2025-12-18T19:35:03,,mobile
EV000021,S0001,video_watch,2026-05-22T06:26:08,643.0,mobile
EV000022,S0001,video_watch,2025-12-22T07:10:07,984.0,web
EV000023,S0001,login,2026-05-20T04:38:09,,web
EV000024,S0001,forum_post,2026-04-24T18:46:27,,mobile
EV000025,S0001,quiz_attempt,2026-01-27T23:24:36,,web
EV000026,S0001,quiz_attempt,2026-05-27T14:44:26,,web
EV000027,S0001,video_watch,2025-12-28T21:34:30,719.0,mobile
EV000028,S0001,login,2026-05-24T19:25:03,,web
EV000029,S0001,login,2026-05-14T09:26:09,,mobile
EV000030,S0001,login,2026-02-25T00:36:15,,web
EV000031,S0001,video_watch,2026-03-07T04:01:53,1256.0,mobile
EV000032,S0001,video_watch,2026-02-16T14:09:44,679.0,mobile
EV000033,S0001,video_watch,2026-05-27T02:22:35,660.0,web
EV000034,S0001,resource_download,2026-01-18T08:57:11,,web
EV000035,S0001,quiz_attempt,2026-04-02T01:28:45,,web
EV000036,S0001,quiz_attempt,2026-03-23T18:40:50,,mobile
EV000037,S0001,quiz_attempt,2026-04-27T11:40:23,,web
EV000038,S0001,login,2025-12-16T11:40:26,,mobile
EV000039,S0001,resource_download,2026-01-30T05:56:52,,mobile
EV000040,S0001,video_watch,2025-12-28T06:22:52,182.0,web
EV000041,S0001,resource_download,2026-01-04T05:11:52,,web
EV000042,S0001,video_watch,2026-05-30T03:03:56,699.0,mobile
EV000043,S0001,login,2026-02-06T20:35:05,,web
EV000044,S0001,login,2026-04-13T22:31:36,,web
EV000045,S0001,login,2026-04-12T18:37:27,,web
EV000046,S0001,login,2026-02-13T09:04:20,,web
EV000047,S0001,video_watch,2026-01-23T22:42:34,647.0,web
EV000048,S0001,video_watch,2026-04-16T19:18:47,531.0,mobile
EV000049,S0001,login,2026-04-30T22:41:37,,web
EV000050,S0001,video_watch,2026-04-03T18:59:10,586.0,web
EV000051,S0001,resource_download,2026-03-17T22:25:46,,web
EV000052,S0001,resource_download,2026-03-29T15:50:20,,web
EV000053,S0001,video_watch,2026-04-27T12:55:05,599.0,mobile
EV000054,S0002,quiz_attempt,2026-04-20T14:37:30,,web
EV000055,S0002,quiz_attempt,2026-01-05T06:04:42,,web
EV000056,S0002,video_watch,2026-01-01T12:39:01,1117.0,web
EV000057,S0002,video_watch,2026-04-18T18:08:38,624.0,web
EV000058,S0002,login,2026-02-07T21:17:31,,mobile
EV000059,S0002,resource_download,2026-04-12T05:35:57,,mobile
EV000060,S0002,video_watch,2026-02-27T19:55:40,732.0,web
EV000061,S0002,quiz_attempt,2025-12-06T08:23:50,,web
EV000062,S0002,login,2026-04-25T12:21:26,,mobile
EV000063,S0002,video_watch,2026-04-13T09:49:47,618.0,mobile
EV000064,S0002,login,2026-02-26T00:54:57,,web
EV000065,S0002,login,2026-03-26T21:24:29,,web
EV000066,S0002,resource_download,2026-05-12T14:34:46,,mobile
EV000067,S0002,login,2026-03-03T01:11:05,,mobile
EV000068,S0002,login,2026-05-24T19:15:27,,mobile
EV000069,S0002,login,2026-04-08T08:13:54,,web
EV000070,S0002,quiz_attempt,2026-04-04T10:23:16,,web
EV000071,S0002,resource_download,2026-02-20T10:59:42,,mobile
EV000072,S0002,forum_post,2026-03-29T16:59:26,,mobile
EV000073,S0002,login,2026-02-16T23:50:11,,web
EV000074,S0002,forum_post,2026-02-13T17:55:09,,web
EV000075,S0002,video_watch,2026-02-05T03:28:01,855.0,web
EV000076,S0002,video_watch,2025-12-23T00:20:35,734.0,web
EV000077,S0002,quiz_attempt,2026-02-17T10:00:11,,web
EV000078,S0002,video_watch,2026-04-26T19:25:33,643.0,web
EV000079,S0002,forum_post,2026-04-13T19:50:43,,web
EV000080,S0002,resource_download,2025-12-22T18:36:33,,mobile
EV000081,S0002,resource_download,2025-12-18T09:49:50,,web
EV000082,S0002,login,2026-03-29T18:15:11,,mobile
EV000083,S0002,video_watch,2025-12-28T22:02:17,313.0,mobile
EV000084,S0002,login,2026-04-23T18:08:18,,mobile
EV000085,S0002,login,2026-02-14T10:53:13,,mobile
EV000086,S0002,video_watch,2026-04-19T04:14:21,747.0,mobile
EV000087,S0002,forum_post,2026-05-22T22:22:26,,mobile
EV000088,S0002,login,2026-05-25T18:42:33,,mobile
EV000089,S0002,login,2026-01-07T05:10:01,,web
EV000090,S0002,login,2026-05-02T02:23:25,,web
EV000091,S0002,video_watch,2026-04-15T20:36:21,637.0,mobile
EV000092,S0002,quiz_attempt,2026-02-12T11:18:29,,web
EV000093,S0002,login,2026-05-18T05:06:01,,web
EV000094,S0002,login,2026-05-09T15:50:00,,web
EV000095,S0002,login,2026-05-11T18:16:40,,mobile
EV000096,S0002,login,2026-02-27T18:11:53,,mobile
EV000097,S0002,video_watch,2026-05-29T07:28:09,686.0,web
EV000098,S0002,video_watch,2025-12-27T09:18:52,462.0,mobile
EV000099,S0002,resource_download,2026-02-11T17:56:19,,mobile
EV000100,S0002,login,2026-03-24T17:19:17,,web
EV000101,S0002,video_watch,2025-12-30T10:51:39,985.0,mobile
EV000102,S0002,resource_download,2026-02-14T04:41:40,,mobile
EV000103,S0002,video_watch,2025-12-30T12:36:30,870.0,mobile
EV000104,S0002,login,2026-01-02T14:15:38,,mobile
EV000105,S0002,login,2026-02-05T00:08:39,,mobile
EV000106,S0002,forum_post,2026-04-22T11:09:40,,web
EV000107,S0002,login,2026-01-16T01:11:13,,web
EV000108,S0002,login,2026-02-01T22:07:51,,web
EV000109,S0002,video_watch,2026-05-15T15:26:00,985.0,web
EV000110,S0002,video_watch,2026-01-10T23:23:58,928.0,web
EV000111,S0002,login,2026-03-27T19:36:37,,mobile
EV000112,S0002,video_watch,2025-12-03T11:55:01,817.0,mobile
EV000113,S0002,video_watch,2025-12-07T01:09:49,470.0,web
EV000114,S0002,quiz_attempt,2026-04-01T06:47:41,,mobile
EV000115,S0002,video_watch,2026-05-19T22:23:38,1067.0,web
EV000116,S0002,video_watch,2026-02-27T12:41:43,513.0,web
EV000117,S0002,login,2026-04-03T07:15:08,,web
EV000118,S0002,resource_download,2026-01-26T22:49:46,,web
EV000119,S0002,video_watch,2026-04-02T08:03:05,645.0,web
EV000120,S0002,resource_download,2026-03-09T22:45:37,,web
EV000121,S0002,login,2026-04-21T17:47:29,,web
EV000122,S0002,video_watch,2026-01-20T17:46:15,840.0,web
EV000123,S0002,video_watch,2026-04-21T15:40:48,850.0,web
EV000124,S0002,login,2025-12-06T09:33:24,,mobile
EV000125,S0002,forum_post,2026-01-19T04:01:17,,web
EV000126,S0002,login,2026-05-01T12:48:50,,mobile
EV000127,S0002,login,2026-03-09T03:37:47,,mobile
EV000128,S0002,login,2026-04-25T08:01:54,,web
EV000129,S0002,video_watch,2025-12-03T12:32:27,813.0,mobile
EV000130,S0002,login,2026-05-05T16:40:38,,web
EV000131,S0002,login,2026-05-21T22:56:25,,mobile
EV000132,S0002,video_watch,2026-02-02T22:08:24,619.0,web
EV000133,S0003,login,2026-01-06T17:57:06,,web
EV000134,S0003,login,2026-01-06T10:21:18,,web
EV000135,S0003,quiz_attempt,2026-02-02T13:52:23,,web
EV000136,S0003,quiz_attempt,2025-12-28T23:19:55,,web
