student_id,course_id,group_id,assessment_id,assessment_title,type,score,max_score,date
S0001,C002,G03,C002-QZ,Quiz 1,quiz,-10.0,100,2025-12-27
S0001,C002,G03,C002-QZ,Quiz 2,quiz,69.1,100,2026-01-10
S0001,C002,G03,C002-QZ,Quiz 3,quiz,84.6,100,2026-01-24
S0001,C002,G03,C002-QZ,Quiz 4,quiz,88.2,100,2026-02-07
S0001,C002,G03,C002-AS,Assignment 1,assignment,67.4,100,2026-02-21
S0001,C002,G03,C002-AS,Assignment 2,assignment,61.8,100,2026-03-07
S0001,C002,G03,C002-AS,Assignment 3,assignment,63.4,100,2026-03-21
S0001,C002,G03,C002-PR,Practical 1,practical,79.3,100,2026-04-04
S0001,C002,G03,C002-PR,Practical 2,practical,86.8,100,2026-04-18
S0001,C002,G03,C002-EX,Midterm Exam,exam,87.2,100,2026-05-02
S0001,C002,G03,C002-EXF,Final Exam,exam,82.1,100,2026-05-16
S0002,C004,G06,C004-QZ,Quiz 1,quiz,97.1,100,2025-12-17
S0002,C004,G06,C004-QZ,Quiz 2,quiz,187.0,100,2026-01-01
S0002,C004,G06,C004-QZ,Quiz 3,quiz,93.8,100,2026-01-16
S0002,C004,G06,C004-QZ,Quiz 4,quiz,90.4,100,2026-01-31
S0002,C004,G06,C004-AS,Assignment 1,assignment,90.6,100,2026-02-15
S0002,C004,G06,C004-AS,Assignment 2,assignment,78.3,100,2026-03-02
S0002,C004,G06,C004-AS,Assignment 3,assignment,72.9,100,2026-03-16
S0002,C004,G06,C004-PR,Practical 1,practical,82.1,100,2026-03-31
S0002,C004,G06,C004-PR,Practical 2,practical,72.0,100,2026-04-15
S0002,C004,G06,C004-EX,Midterm Exam,exam,83.7,100,2026-04-30
S0002,C004,G06,C004-EXF,Final Exam,exam,87.7,100,2026-05-15
S0003,C003,G05,C003-QZ,Quiz 1,quiz,62.1,100,2025-12-30
S0003,C003,G05,C003-QZ,Quiz 2,quiz,75.9,100,2026-01-13
S0003,C003,G05,C003-QZ,Quiz 3,quiz,73.8,100,2026-01-27
S0003,C003,G05,C003-QZ,Quiz 4,quiz,,100,2026-02-09
S0003,C003,G05,C003-AS,Assignment 1,assignment,81.3,100,2026-02-23
S0003,C003,G05,C003-AS,Assignment 2,assignment,66.0,100,2026-03-09
S0003,C003,G05,C003-AS,Assignment 3,assignment,63.5,100,2026-03-22
S0003,C003,G05,C003-PR,Practical 1,practical,66.4,100,2026-04-05
S0003,C003,G05,C003-PR,Practical 2,practical,62.2,100,2026-04-19
S0003,C003,G05,C003-EX,Midterm Exam,exam,78.3,100,2026-05-02
S0003,C003,G05,C003-EXF,Final Exam,exam,84.8,100,2026-05-16
S0004,C001,G02,C001-QZ,Quiz 1,quiz,86.7,100,2025-12-26
S0004,C001,G02,C001-QZ,Quiz 2,quiz,77.6,100,2026-01-09
S0004,C001,G02,C001-QZ,Quiz 3,quiz,77.6,100,2026-01-23
S0004,C001,G02,C001-QZ,Quiz 4,quiz,89.9,100,2026-02-06
S0004,C001,G02,C001-AS,Assignment 1,assignment,,100,2026-02-20
S0004,C001,G02,C001-AS,Assignment 2,assignment,75.7,100,2026-03-06
S0004,C001,G02,C001-AS,Assignment 3,assignment,79.9,100,2026-03-20
S0004,C001,G02,C001-PR,Practical 1,practical,80.3,100,2026-04-03
S0004,C001,G02,C001-PR,Practical 2,practical,89.5,100,2026-04-17
S0004,C001,G02,C001-EX,Midterm Exam,exam,80.0,100,2026-05-01
S0004,C001,G02,C001-EXF,Final Exam,exam,79.7,100,2026-05-15
S0005,C001,G01,C001-QZ,Quiz 1,quiz,78.2,10,2025-12-27
S0005,C001,G01,C001-QZ,Quiz 2,quiz,72.7,100,2026-01-10
S0005,C001,G01,C001-QZ,Quiz 3,quiz,74.5,100,2026-01-24
S0005,C001,G01,C001-QZ,Quiz 4,quiz,80.3,100,2026-02-07
S0005,C001,G01,C001-AS,Assignment 1,assignment,69.8,100,2026-02-21
S0005,C001,G01,C001-AS,Assignment 2,assignment,61.3,100,2026-03-07
S0005,C001,G01,C001-AS,Assignment 3,assignment,58.6,100,2026-03-21
S0005,C001,G01,C001-PR,Practical 1,practical,74.7,100,2026-04-04
S0005,C001,G01,C001-PR,Practical 2,practical,85.9,100,2026-04-18
S0005,C001,G01,C001-EX,Midterm Exam,exam,60.4,100,2026-05-02
S0005,C001,G01,C001-EXF,Final Exam,exam,62.0,100,2026-05-16
S0006,C005,G07,C005-QZ,Quiz 1,quiz,75.0,100,2025-12-20
S0006,C005,G07,C005-QZ,Quiz 2,quiz,75.0,100,2026-01-04
S0006,C005,G07,C005-QZ,Quiz 3,quiz,75.0,100,2026-01-18
S0006,C005,G07,C005-QZ,Quiz 4,quiz,75.0,100,2026-02-02
S0006,C005,G07,C005-AS,Assignment 1,assignment,75.0,100,2026-02-16
S0006,C005,G07,C005-AS,Assignment 2,assignment,75.0,100,2026-03-03
S0006,C005,G07,C005-AS,Assignment 3,assignment,75.0,100,2026-03-18
S0006,C005,G07,C005-PR,Practical 1,practical,75.0,100,2026-04-01
S0006,C005,G07,C005-PR,Practical 2,practical,75.0,100,2026-04-16
S0006,C005,G07,C005-EX,Midterm Exam,exam,75.0,100,2026-04-30
S0006,C005,G07,C005-EXF,Final Exam,exam,75.0,100,2026-05-15
S0007,C002,G04,C002-QZ,Quiz 1,quiz,68.5,100,2025-12-27
S0007,C002,G04,C002-QZ,Quiz 2,quiz,75.2,100,2026-01-10
S0007,C002,G04,C002-QZ,Quiz 3,quiz,81.3,100,2026-01-24
S0007,C002,G04,C002-QZ,Quiz 4,quiz,61.0,100,2026-02-07
S0007,C002,G04,C002-AS,Assignment 1,assignment,72.3,100,2026-02-21
S0007,C002,G04,C002-AS,Assignment 2,assignment,71.5,100,2026-03-07
S0007,C002,G04,C002-AS,Assignment 3,assignment,64.5,100,2026-03-21
S0007,C002,G04,C002-PR,Practical 1,practical,77.6,100,2026-04-04
S0007,C002,G04,C002-PR,Practical 2,practical,85.3,100,2026-04-18
S0007,C002,G04,C002-EX,Midterm Exam,exam,57.8,100,2026-05-02
S0007,C002,G04,C002-EXF,Final Exam,exam,83.1,100,2026-05-16
S0008,C002,G04,C002-QZ,Quiz 1,quiz,80.9,100,2025-12-18
S0008,C002,G04,C002-QZ,Quiz 2,quiz,84.5,100,2026-01-02
S0008,C002,G04,C002-QZ,Quiz 3,quiz,88.1,100,2026-01-17
S0008,C002,G04,C002-QZ,Quiz 4,quiz,92.3,100,2026-02-01
S0008,C002,G04,C002-AS,Assignment 1,assignment,82.3,100,2026-02-15
S0008,C002,G04,C002-AS,Assignment 2,assignment,75.8,100,2026-03-02
S0008,C002,G04,C002-AS,Assignment 3,assignment,67.3,100,2026-03-17
S0008,C002,G04,C002-PR,Practical 1,practical,84.4,100,2026-04-01
S0008,C002,G04,C002-PR,Practical 2,practical,88.8,100,2026-04-15
S0008,C002,G04,C002-EX,Midterm Exam,exam,70.2,100,2026-04-30
S0008,C002,G04,C002-EXF,Final Exam,exam,98.0,100,2026-05-15
S0008,C002,G04,C001-EXTRA,Bonus Exam,exam,90.0,100,2026-04-01
